Date,nPeople
2020-10-06 10:36:47,1
2020-10-06 10:48:37,2
2020-10-06 10:49:34,1
2020-10-06 10:49:35,2
2020-10-06 10:53:21,3
2020-10-06 10:53:40,2
2020-10-06 10:54:46,3
2020-10-06 10:55:21,4
2020-10-06 10:57:21,5
2020-10-06 10:59:16,6
2020-10-06 10:59:35,7
2020-10-06 11:00:47,8
2020-10-06 11:00:54,9
2020-10-06 11:01:04,10
2020-10-06 11:01:16,11
2020-10-06 11:01:17,12
2020-10-06 11:01:53,11
2020-10-06 11:02:20,12
2020-10-06 11:02:28,13
2020-10-06 11:02:37,14
2020-10-06 11:02:49,15
2020-10-06 11:02:50,16
2020-10-06 11:06:02,17
2020-10-06 11:06:34,18
2020-10-06 11:09:16,19
2020-10-06 11:09:35,18
2020-10-06 11:12:08,19
2020-10-06 11:13:02,20
2020-10-06 11:25:45,19
2020-10-06 11:26:29,20
2020-10-06 11:28:35,19
2020-10-06 11:30:10,20
2020-10-06 11:30:58,19
2020-10-06 11:30:59,20
2020-10-06 11:31:06,19
2020-10-06 11:31:08,18
2020-10-06 11:31:09,15
2020-10-06 11:31:21,14
2020-10-06 11:31:23,13
2020-10-06 11:31:46,12
2020-10-06 11:32:42,11
2020-10-06 11:32:46,10
2020-10-06 11:39:16,9
2020-10-06 11:50:05,8
2020-10-06 11:50:30,7
2020-10-06 11:50:31,6
2020-10-06 11:51:14,5
2020-10-06 11:51:28,4
2020-10-06 11:51:30,2
2020-10-06 11:51:54,1
2020-10-06 11:58:35,2
2020-10-06 11:58:38,1
2020-10-06 12:29:07,2
2020-10-06 12:29:12,1
2020-10-06 12:48:43,2
2020-10-06 12:48:57,2
2020-10-06 12:52:22,3
2020-10-06 12:55:22,4
2020-10-06 12:56:10,5
2020-10-06 12:59:51,6
2020-10-06 13:00:08,7
2020-10-06 13:00:17,8
2020-10-06 13:00:22,9
2020-10-06 13:00:44,10
2020-10-06 13:01:15,11
2020-10-06 13:01:30,12
2020-10-06 13:01:38,13
2020-10-06 13:02:19,14
2020-10-06 13:03:00,15
2020-10-06 13:03:55,16
2020-10-06 13:04:14,17
2020-10-06 13:06:43,18
2020-10-06 13:09:36,19
2020-10-06 13:10:05,20
2020-10-06 13:11:51,21
2020-10-06 13:13:37,20
2020-10-06 13:16:07,21
2020-10-06 13:16:24,20
2020-10-06 13:19:37,21
2020-10-06 13:28:06,22
2020-10-06 13:32:50,23
2020-10-06 13:32:59,22
2020-10-06 13:33:22,23
2020-10-06 13:34:50,24
2020-10-06 13:35:44,25
2020-10-06 13:36:47,26
2020-10-06 13:42:42,25
2020-10-06 13:56:03,24
2020-10-06 13:58:44,23
2020-10-06 13:58:45,22
2020-10-06 13:58:54,21
2020-10-06 13:58:56,20
2020-10-06 13:59:00,19
2020-10-06 13:59:01,16
2020-10-06 13:59:05,15
2020-10-06 13:59:08,13
2020-10-06 13:59:16,12
2020-10-06 14:01:43,11
2020-10-06 14:03:16,10
2020-10-06 14:04:23,9
2020-10-06 14:04:37,8
2020-10-06 14:04:51,7
2020-10-06 14:04:54,6
2020-10-06 14:04:56,5
2020-10-06 14:04:57,4
2020-10-06 14:04:59,3
2020-10-06 14:05:33,2
2020-10-06 14:09:40,0
2020-10-07 13:42:48,1
2020-10-07 13:42:51,2
2020-10-07 13:46:04,3
2020-10-07 13:46:46,3
2020-10-07 13:49:40,4
2020-10-07 13:49:59,5
2020-10-07 13:50:27,6
2020-10-07 13:50:33,5
2020-10-07 13:50:34,6
2020-10-07 13:51:25,4
2020-10-07 13:51:26,5
2020-10-07 13:51:27,4
2020-10-07 13:51:28,5
2020-10-07 13:52:54,6
2020-10-07 13:53:04,7
2020-10-07 13:53:47,8
2020-10-07 13:54:23,9
2020-10-07 13:55:32,10
2020-10-07 13:55:49,9
2020-10-07 13:57:22,10
2020-10-07 13:57:37,11
2020-10-07 13:58:31,12
2020-10-07 13:58:40,13
2020-10-07 13:59:19,14
2020-10-07 13:59:49,15
2020-10-07 14:00:08,16
2020-10-07 14:00:44,17
2020-10-07 14:00:48,18
2020-10-07 14:00:59,19
2020-10-07 14:01:33,20
2020-10-07 14:01:43,21
2020-10-07 14:01:50,22
2020-10-07 14:01:55,23
2020-10-07 14:02:01,24
2020-10-07 14:02:16,25
2020-10-07 14:02:18,26
2020-10-07 14:02:22,27
2020-10-07 14:02:31,28
2020-10-07 14:02:37,29
2020-10-07 14:02:54,30
2020-10-07 14:05:19,29
2020-10-07 14:07:39,30
2020-10-07 14:08:51,29
2020-10-07 14:09:56,30
2020-10-07 14:13:06,31
2020-10-07 14:19:06,32
2020-10-07 14:19:21,31
2020-10-07 14:20:10,32
2020-10-07 14:21:04,31
2020-10-07 14:21:22,32
2020-10-07 14:22:33,33
2020-10-07 14:23:38,34
2020-10-07 14:25:15,35
2020-10-07 14:26:06,36
2020-10-07 14:27:40,37
2020-10-07 14:28:56,38
2020-10-07 14:31:56,37
2020-10-07 14:32:16,36
2020-10-07 14:32:41,35
2020-10-07 14:33:12,36
2020-10-07 14:33:29,35
2020-10-07 14:33:51,34
2020-10-07 14:34:12,33
2020-10-07 14:35:09,34
2020-10-07 14:35:13,35
2020-10-07 14:37:22,34
2020-10-07 14:37:51,33
2020-10-07 14:38:47,34
2020-10-07 14:39:43,33
2020-10-07 14:41:29,34
2020-10-07 14:41:57,35
2020-10-07 14:42:44,34
2020-10-07 14:42:55,35
2020-10-07 14:46:43,36
2020-10-07 14:47:24,35
2020-10-07 14:49:16,34
2020-10-07 14:49:29,35
2020-10-07 14:50:12,34
2020-10-07 14:52:09,33
2020-10-07 14:52:35,32
2020-10-07 14:53:23,31
2020-10-07 14:53:40,30
2020-10-07 14:55:10,31
2020-10-07 14:55:21,32
2020-10-07 14:56:03,31
2020-10-07 14:56:56,32
2020-10-07 14:57:21,33
2020-10-07 14:58:05,32
2020-10-07 14:58:40,33
2020-10-07 14:58:58,32
2020-10-07 14:59:10,31
2020-10-07 14:59:40,32
2020-10-07 15:00:03,31
2020-10-07 15:00:04,30
2020-10-07 15:00:09,29
2020-10-07 15:00:10,28
2020-10-07 15:00:26,26
2020-10-07 15:00:27,25
2020-10-07 15:00:28,23
2020-10-07 15:00:29,22
2020-10-07 15:00:30,20
2020-10-07 15:00:32,19
2020-10-07 15:00:52,18
2020-10-07 15:00:56,17
2020-10-07 15:00:58,18
2020-10-07 15:01:21,19
2020-10-07 15:01:40,20
2020-10-07 15:02:21,19
2020-10-07 15:02:59,17
2020-10-07 15:03:12,18
2020-10-07 15:03:22,19
2020-10-07 15:03:55,20
2020-10-07 15:04:16,21
2020-10-07 15:04:42,22
2020-10-07 15:10:33,23
2020-10-07 15:13:06,24
2020-10-07 15:13:45,23
2020-10-07 15:17:28,24
2020-10-07 15:17:39,23
2020-10-07 15:18:10,24
2020-10-07 15:18:15,23
2020-10-07 15:18:20,22
2020-10-07 15:21:30,21
2020-10-07 15:28:38,22
2020-10-07 15:31:40,21
2020-10-07 15:31:58,22
2020-10-07 15:32:22,21
2020-10-07 15:45:52,20
2020-10-07 15:46:28,21
2020-10-07 15:49:06,20
2020-10-07 15:49:09,21
2020-10-07 15:49:17,20
2020-10-07 16:00:56,19
2020-10-07 16:01:24,18
2020-10-07 16:01:26,19
2020-10-07 16:03:49,18
2020-10-07 16:04:44,17
2020-10-07 16:05:01,16
2020-10-07 16:05:31,15
2020-10-07 16:05:38,14
2020-10-07 16:05:43,13
2020-10-07 16:06:31,12
2020-10-07 16:07:04,11
2020-10-07 16:08:04,10
2020-10-07 16:11:00,9
2020-10-07 16:16:08,8
2020-10-07 16:16:36,7
2020-10-07 16:17:59,8
2020-10-07 16:53:49,7
2020-10-07 16:54:58,6
2020-10-07 16:55:51,4
2020-10-07 16:55:52,3
2020-10-07 16:55:53,1
2020-10-07 16:55:55,-1
