Date,nPeople
2020-10-06 10:36:00,3
2020-10-06 10:37:00,5
2020-10-06 10:39:00,6
2020-10-06 10:40:00,5
2020-10-06 10:44:00,5
2020-10-06 10:45:00,7
2020-10-06 10:46:00,8
2020-10-06 10:47:00,9
2020-10-06 10:48:00,12
2020-10-06 10:50:00,13
2020-10-06 10:51:00,14
2020-10-06 10:52:00,17
2020-10-06 10:53:00,16
2020-10-06 10:54:00,20
2020-10-06 10:55:00,22
2020-10-06 10:56:00,29
2020-10-06 10:57:00,41
2020-10-06 10:58:00,47
2020-10-06 10:59:00,55
2020-10-06 11:00:00,68
2020-10-06 11:01:00,74
2020-10-06 11:02:00,85
2020-10-06 11:03:00,96
2020-10-06 11:04:00,104
2020-10-06 11:05:00,105
2020-10-06 11:06:00,114
2020-10-06 11:07:00,115
2020-10-06 11:08:00,120
2020-10-06 11:09:00,125
2020-10-06 11:10:00,128
2020-10-06 11:11:00,128
2020-10-06 11:12:00,130
2020-10-06 11:13:00,129
2020-10-06 11:14:00,132
2020-10-06 11:15:00,134
2020-10-06 11:16:00,134
2020-10-06 11:17:00,136
2020-10-06 11:18:00,137
2020-10-06 11:19:00,137
2020-10-06 11:20:00,135
2020-10-06 11:21:00,138
2020-10-06 11:22:00,137
2020-10-06 11:23:00,137
2020-10-06 11:24:00,139
2020-10-06 11:25:00,142
2020-10-06 11:26:00,147
2020-10-06 11:27:00,149
2020-10-06 11:28:00,149
2020-10-06 11:29:00,153
2020-10-06 11:30:00,133
2020-10-06 11:31:00,141
2020-10-06 11:32:00,145
2020-10-06 11:33:00,143
2020-10-06 11:34:00,145
2020-10-06 11:35:00,146
2020-10-06 11:36:00,145
2020-10-06 11:37:00,146
2020-10-06 11:38:00,149
2020-10-06 11:39:00,152
2020-10-06 11:40:00,151
2020-10-06 11:41:00,155
2020-10-06 11:42:00,155
2020-10-06 11:43:00,155
2020-10-06 11:44:00,155
2020-10-06 11:45:00,159
2020-10-06 11:46:00,159
2020-10-06 11:47:00,160
2020-10-06 11:48:00,161
2020-10-06 11:49:00,163
2020-10-06 11:50:00,164
2020-10-06 11:51:00,164
2020-10-06 11:53:00,166
2020-10-06 11:54:00,171
2020-10-06 11:55:00,170
2020-10-06 11:57:00,168
2020-10-06 11:58:00,169
2020-10-06 11:59:00,170
2020-10-06 12:00:00,169
2020-10-06 12:01:00,168
2020-10-06 12:02:00,171
2020-10-06 12:03:00,171
2020-10-06 12:04:00,171
2020-10-06 12:06:00,173
2020-10-06 12:08:00,175
2020-10-06 12:09:00,174
2020-10-06 12:10:00,173
2020-10-06 12:11:00,172
2020-10-06 12:12:00,171
2020-10-06 12:13:00,170
2020-10-06 12:14:00,170
2020-10-06 12:15:00,170
2020-10-06 12:16:00,172
2020-10-06 12:17:00,171
2020-10-06 12:18:00,172
2020-10-06 12:19:00,171
2020-10-06 12:20:00,171
2020-10-06 12:21:00,171
2020-10-06 12:22:00,172
2020-10-06 12:23:00,171
2020-10-06 12:25:00,171
2020-10-06 12:26:00,169
2020-10-06 12:27:00,167
2020-10-06 12:28:00,164
2020-10-06 12:29:00,160
2020-10-06 12:30:00,159
2020-10-06 12:31:00,158
2020-10-06 12:32:00,157
2020-10-06 12:33:00,156
2020-10-06 12:34:00,154
2020-10-06 12:35:00,152
2020-10-06 12:36:00,151
2020-10-06 12:37:00,148
2020-10-06 12:38:00,150
2020-10-06 12:39:00,146
2020-10-06 12:40:00,145
2020-10-06 12:41:00,146
2020-10-06 12:42:00,145
2020-10-06 12:43:00,145
2020-10-06 12:44:00,142
2020-10-06 12:45:00,139
2020-10-06 12:46:00,138
2020-10-06 12:47:00,135
2020-10-06 12:48:00,137
2020-10-06 12:49:00,136
2020-10-06 12:50:00,134
2020-10-06 12:51:00,129
2020-10-06 12:52:00,129
2020-10-06 12:53:00,128
2020-10-06 12:54:00,127
2020-10-06 12:55:00,126
2020-10-06 12:56:00,123
2020-10-06 12:57:00,121
2020-10-06 12:58:00,118
2020-10-06 12:59:00,111
2020-10-06 13:00:00,103
2020-10-06 13:01:00,101
2020-10-06 13:02:00,100
2020-10-06 13:03:00,98
2020-10-06 13:04:00,97
2020-10-06 13:05:00,96
2020-10-06 13:06:00,94
2020-10-06 13:07:00,91
2020-10-06 13:08:00,91
2020-10-06 13:09:00,88
2020-10-06 13:10:00,89
2020-10-06 13:11:00,89
2020-10-06 13:12:00,88
2020-10-06 13:13:00,87
2020-10-06 13:14:00,82
2020-10-06 13:15:00,79
2020-10-06 13:16:00,79
2020-10-06 13:17:00,77
2020-10-06 13:18:00,31
2020-10-06 13:19:00,22
2020-10-06 13:20:00,15
2020-10-06 13:21:00,14
2020-10-06 13:22:00,15
2020-10-06 13:23:00,13
2020-10-06 13:26:00,10
2020-10-06 13:27:00,10
2020-10-06 13:29:00,11
2020-10-06 13:30:00,12
2020-10-06 13:31:00,13
2020-10-06 13:33:00,12
2020-10-06 13:35:00,13
2020-10-06 13:36:00,13
2020-10-06 13:37:00,14
2020-10-06 13:38:00,11
2020-10-06 13:39:00,9
2020-10-06 13:42:00,10
2020-10-06 13:43:00,10
2020-10-06 13:45:00,11
2020-10-06 13:46:00,10
2020-10-06 13:47:00,11
2020-10-06 13:48:00,13
2020-10-06 13:50:00,12
2020-10-06 13:52:00,13
2020-10-06 13:53:00,14
2020-10-06 13:54:00,17
2020-10-06 13:55:00,21
2020-10-06 13:56:00,26
2020-10-06 13:57:00,28
2020-10-06 13:58:00,32
2020-10-06 13:59:00,45
2020-10-06 14:00:00,55
2020-10-06 14:01:00,69
2020-10-06 14:02:00,79
2020-10-06 14:03:00,87
2020-10-06 14:04:00,93
2020-10-06 14:05:00,100
2020-10-06 14:06:00,105
2020-10-06 14:07:00,105
2020-10-06 14:08:00,106
2020-10-06 14:09:00,107
2020-10-06 14:10:00,110
2020-10-06 14:11:00,112
2020-10-06 14:12:00,114
2020-10-06 14:13:00,116
2020-10-06 14:14:00,117
2020-10-06 14:15:00,119
2020-10-06 14:17:00,119
2020-10-06 14:18:00,121
2020-10-06 14:19:00,122
2020-10-06 14:20:00,125
2020-10-06 14:21:00,125
2020-10-06 14:22:00,126
2020-10-06 14:24:00,127
2020-10-06 14:25:00,131
2020-10-06 14:27:00,130
2020-10-06 14:28:00,132
2020-10-06 14:29:00,131
2020-10-06 14:30:00,130
2020-10-06 14:31:00,132
2020-10-06 14:32:00,129
2020-10-06 14:33:00,133
2020-10-06 14:34:00,132
2020-10-06 14:35:00,134
2020-10-06 14:36:00,139
2020-10-06 14:37:00,140
2020-10-06 14:38:00,145
2020-10-06 14:39:00,148
2020-10-06 14:41:00,151
2020-10-06 14:42:00,151
2020-10-06 14:43:00,148
2020-10-06 14:44:00,146
2020-10-06 14:45:00,147
2020-10-06 14:46:00,150
2020-10-06 14:47:00,146
2020-10-06 14:48:00,145
2020-10-06 14:49:00,143
2020-10-06 14:51:00,141
2020-10-06 14:53:00,141
2020-10-06 14:54:00,139
2020-10-06 14:55:00,139
2020-10-06 14:56:00,137
2020-10-06 14:57:00,135
2020-10-06 14:58:00,133
2020-10-06 14:59:00,130
2020-10-06 15:00:00,128
2020-10-06 15:01:00,122
2020-10-06 15:02:00,120
2020-10-06 15:03:00,118
2020-10-06 15:04:00,115
2020-10-06 15:06:00,114
2020-10-06 15:07:00,113
2020-10-06 15:08:00,112
2020-10-06 15:09:00,113
2020-10-06 15:10:00,111
2020-10-06 15:11:00,108
2020-10-06 15:12:00,106
2020-10-06 15:13:00,105
2020-10-06 15:14:00,103
2020-10-06 15:15:00,102
2020-10-06 15:16:00,101
2020-10-06 15:17:00,100
2020-10-06 15:18:00,97
2020-10-06 15:19:00,98
2020-10-06 15:20:00,96
